0.00, 1.00, 0.09, 0.31, 0.00, 2.00, 0.00
0.00, 0.33, 0.09, 0.38, 0.00, 3.00, 0.00
0.00, 0.33, 0.09, 0.38, 0.00, 4.00, 0.00
0.00, 1.00, 0.05, 0.00, 0.00, 5.00, 0.00
0.00, 1.00, 0.01, 0.85, 0.00, 2.00, 1.00
0.00, 0.98, 0.05, 0.79, 0.00, 3.00, 1.00
0.00, 0.96, 0.09, 0.71, 0.00, 4.00, 1.00
0.00, 0.94, 0.09, 0.65, 0.00, 5.00, 1.00
0.25, 0.92, 0.09, 0.20, 0.00, 7.00, 1.00
0.00, 0.90, 0.01, 0.74, 0.00, 8.00, 1.00
0.09, 0.88, 0.09, 0.62, 0.00, 9.00, 1.00
0.00, 0.86, 0.05, 0.30, 0.00, 10.00, 1.00
0.00, 0.84, 0.02, 0.78, 0.00, 12.00, 1.00
0.14, 0.82, 0.09, 0.44, 0.00, 13.00, 1.00
0.00, 0.80, 0.02, 0.83, 0.00, 14.00, 1.00
0.14, 0.78, 0.09, 0.53, 0.00, 15.00, 1.00
0.08, 0.76, 0.09, 0.67, 0.00, 16.00, 1.00
0.00, 0.74, 0.05, 0.81, 1.00, 17.00, 1.00
0.00, 0.72, 0.09, 0.67, 0.00, 18.00, 1.00
0.00, 0.70, 0.02, 0.76, 0.00, 20.00, 1.00
0.08, 0.68, 0.09, 0.57, 0.00, 21.00, 1.00
0.00, 0.66, 0.01, 0.95, 0.00, 22.00, 1.00
0.07, 0.64, 0.09, 0.73, 0.00, 23.00, 1.00
0.00, 0.62, 0.05, 0.58, 0.00, 25.00, 1.00
0.07, 0.60, 0.09, 0.68, 0.00, 26.00, 1.00
0.00, 0.58, 0.09, 0.52, 0.00, 27.00, 1.00
0.00, 0.56, 0.05, 0.72, 0.00, 28.00, 1.00
0.00, 0.54, 0.05, 0.72, 0.00, 29.00, 1.00
0.11, 0.52, 0.05, 0.61, 0.00, 30.00, 1.00
0.00, 0.49, 0.00, 0.00, 0.00, 31.00, 1.00
0.00, 0.47, 0.09, 0.57, 0.00, 32.00, 1.00
0.00, 0.45, 0.09, 0.48, 0.00, 33.00, 1.00
0.17, 0.43, 0.09, 0.62, 0.00, 35.00, 1.00
0.14, 0.41, 0.02, 0.59, 0.00, 36.00, 1.00
0.00, 0.39, 0.05, 0.69, 0.00, 37.00, 1.00
0.00, 0.37, 0.09, 0.13, 0.00, 38.00, 1.00
0.09, 0.35, 0.05, 0.67, 0.00, 40.00, 1.00
0.00, 0.33, 0.05, 0.72, 0.00, 41.00, 1.00
0.06, 0.31, 0.09, 0.42, 0.00, 42.00, 1.00
0.00, 0.29, 0.09, 0.51, 0.00, 43.00, 1.00
0.00, 0.27, 0.00, 0.91, 0.00, 45.00, 1.00
0.12, 0.25, 0.09, 0.47, 0.00, 46.00, 1.00
0.00, 0.23, 0.09, 0.66, 0.00, 47.00, 1.00
0.00, 0.21, 0.01, 0.83, 0.00, 48.00, 1.00
0.00, 0.19, 0.05, 0.67, 0.00, 50.00, 1.00
0.00, 0.17, 0.05, 0.70, 0.00, 51.00, 1.00
0.00, 0.15, 0.01, 0.86, 1.00, 52.00, 1.00
0.00, 0.13, 0.09, 0.54, 0.00, 53.00, 1.00
0.00, 0.11, 0.01, 0.61, 0.00, 54.00, 1.00
0.00, 0.09, 0.09, 0.80, 0.00, 55.00, 1.00
0.00, 0.07, 0.05, 0.64, 0.00, 57.00, 1.00
0.00, 0.05, 0.09, 0.69, 0.00, 58.00, 1.00
0.00, 0.03, 0.01, 0.56, 0.00, 59.00, 1.00
0.00, 0.01, 0.01, 0.78, 0.00, 60.00, 1.00
0.00, 0.01, 0.00, 1.00, 0.00, 61.00, 1.00
0.00, 0.03, 0.01, 0.46, 0.00, 62.00, 1.00
0.00, 0.05, 0.00, 0.90, 0.00, 63.00, 1.00
0.00, 0.07, 0.02, 0.00, 0.00, 64.00, 1.00
0.00, 0.09, 0.09, 0.71, 0.00, 65.00, 1.00
0.08, 0.11, 0.09, 0.61, 0.00, 67.00, 1.00
0.00, 0.13, 0.02, 0.65, 0.00, 68.00, 1.00
0.00, 0.15, 0.01, 0.52, 0.00, 69.00, 1.00
0.00, 0.17, 0.02, 0.85, 0.00, 70.00, 1.00
0.00, 0.19, 0.01, 0.65, 0.00, 71.00, 1.00
0.00, 0.21, 0.00, 0.93, 0.00, 72.00, 1.00
0.00, 0.23, 0.09, 0.61, 0.00, 73.00, 1.00
0.17, 0.25, 0.03, 0.81, 0.00, 74.00, 1.00
